full_name,email,phone,password_hash,role,status
Erik Alamsyah,erik.alamsyah1@gmail.com,8110000001,hashed_pw_0001,seller,active
Lisa Mulyono,lisa.mulyono2@gmail.com,8110000002,hashed_pw_0002,seller,active
Elok Purnama,elok.purnama3@gmail.com,8110000003,hashed_pw_0003,seller,active
Yoga Anggraini,yoga.anggraini4@gmail.com,8110000004,hashed_pw_0004,seller,active
Kevin Nugraha,kevin.nugraha5@gmail.com,8110000005,hashed_pw_0005,seller,active
Angga Siregar,angga.siregar6@gmail.com,8110000006,hashed_pw_0006,seller,active
Agung Sukmawati,agung.sukmawati7@gmail.com,8110000007,hashed_pw_0007,seller,active
Nina Prasetyawati,nina.prasetyawati8@gmail.com,8110000008,hashed_pw_0008,seller,active
Ahmad Kadir,ahmad.kadir9@gmail.com,8110000009,hashed_pw_0009,seller,active
Rudi Prasetyawati,rudi.prasetyawati10@gmail.com,8110000010,hashed_pw_0010,seller,active
Rizky Hadiningrat,rizky.hadiningrat11@gmail.com,8110000011,hashed_pw_0011,seller,active
Doni Sari,doni.sari12@gmail.com,8110000012,hashed_pw_0012,seller,active
Mira Aryani,mira.aryani13@gmail.com,8110000013,hashed_pw_0013,seller,active
Yulianto Hartono,yulianto.hartono14@gmail.com,8110000014,hashed_pw_0014,seller,suspended
Taufik Fadilah,taufik.fadilah15@gmail.com,8110000015,hashed_pw_0015,seller,active
Sugiarto Lubis,sugiarto.lubis16@gmail.com,8110000016,hashed_pw_0016,seller,active
Arif Mustofa,arif.mustofa17@gmail.com,8110000017,hashed_pw_0017,seller,active
Dewi Nugraha,dewi.nugraha18@gmail.com,8110000018,hashed_pw_0018,seller,active
Teguh Prasetyawati,teguh.prasetyawati19@gmail.com,8110000019,hashed_pw_0019,seller,active
Suprapto Kartika,suprapto.kartika20@gmail.com,8110000020,hashed_pw_0020,seller,active
Karina Pradana,karina.pradana21@gmail.com,8110000021,hashed_pw_0021,seller,active
Citra Komarudin,citra.komarudin22@gmail.com,8110000022,hashed_pw_0022,seller,active
Lisa Kartika,lisa.kartika23@gmail.com,8110000023,hashed_pw_0023,seller,active
Nadia Saputra,nadia.saputra24@gmail.com,8110000024,hashed_pw_0024,seller,active
Rendra Cahyani,rendra.cahyani25@gmail.com,8110000025,hashed_pw_0025,seller,active
Anita Rahmawati,anita.rahmawati26@gmail.com,8110000026,hashed_pw_0026,seller,active
Bella Maryati,bella.maryati27@gmail.com,8110000027,hashed_pw_0027,seller,active
Gita Rahmawati,gita.rahmawati28@gmail.com,8110000028,hashed_pw_0028,seller,active
Setiawan Subekti,setiawan.subekti29@gmail.com,8110000029,hashed_pw_0029,seller,active
Lesmana Irawan,lesmana.irawan30@gmail.com,8110000030,hashed_pw_0030,seller,active
Livia Siregar,livia.siregar31@gmail.com,8110000031,hashed_pw_0031,seller,active
Laras Suryadi,laras.suryadi32@gmail.com,8110000032,hashed_pw_0032,seller,active
Utami Sasmita,utami.sasmita33@gmail.com,8110000033,hashed_pw_0033,seller,active
Gatot Yulianti,gatot.yulianti34@gmail.com,8110000034,hashed_pw_0034,seller,active
Arman Harahap,arman.harahap35@gmail.com,8110000035,hashed_pw_0035,seller,active
Hendra Sumantri,hendra.sumantri36@gmail.com,8110000036,hashed_pw_0036,seller,active
Tika Sinaga,tika.sinaga37@gmail.com,8110000037,hashed_pw_0037,seller,active
Nasution Hermawan,nasution.hermawan38@gmail.com,8110000038,hashed_pw_0038,seller,active
Cahya Aditama,cahya.aditama39@gmail.com,8110000039,hashed_pw_0039,seller,active
Erni Nugraha,erni.nugraha40@gmail.com,8110000040,hashed_pw_0040,seller,active
Rudi Harahap,rudi.harahap41@gmail.com,8110000041,hashed_pw_0041,seller,active
Hendra Tambunan,hendra.tambunan42@gmail.com,8110000042,hashed_pw_0042,seller,active
Mira Winarno,mira.winarno43@gmail.com,8110000043,hashed_pw_0043,seller,active
Suhendra Handayani,suhendra.handayani44@gmail.com,8110000044,hashed_pw_0044,seller,active
Nurul Yuliana,nurul.yuliana45@gmail.com,8110000045,hashed_pw_0045,seller,active
Hafiz Sihombing,hafiz.sihombing46@gmail.com,8110000046,hashed_pw_0046,seller,active
Zahra Hermawan,zahra.hermawan47@gmail.com,8110000047,hashed_pw_0047,seller,active
Ratih Rianti,ratih.rianti48@gmail.com,8110000048,hashed_pw_0048,seller,active
